0	0	0	0	0	0
256	0	0	175	5	1
512	0	0	355	11	1
768	0	0	548	18	3
1024	0	0	744	26	5
1280	0	0	929	33	8
1536	0	0	1113	41	10
1792	0	0	1315	51	14
2048	0	0	1515	59	17
2303	0	0	1703	69	20
2559	0	0	1893	77	22
2815	0	0	2085	86	26
3071	0	0	2282	95	29
3327	0	0	2475	104	33
3583	0	0	2667	114	37
3839	0	0	2849	123	39
4095	0	0	3031	133	42
0	256	0	47	215	11
256	256	0	225	221	11
512	256	0	419	234	15
768	256	0	616	241	18
1024	256	0	815	249	20
1280	256	0	1000	256	23
1536	256	0	1185	267	26
1792	256	0	1387	275	30
2048	256	0	1586	286	33
2303	256	0	1779	295	36
2559	256	0	1969	304	39
2815	256	0	2165	313	42
3071	256	0	2359	322	46
3327	256	0	2557	331	50
3583	256	0	2748	341	54
3839	256	0	2925	356	57
4095	256	0	3107	365	60
0	512	0	95	433	22
256	512	0	285	448	25
512	512	0	478	459	29
768	512	0	679	468	32
1024	512	0	880	477	35
1280	512	0	1067	487	39
1536	512	0	1248	495	42
1792	512	0	1448	506	46
2048	512	0	1649	516	49
2303	512	0	1843	527	52
2559	512	0	2036	536	56
2815	512	0	2233	547	59
3071	512	0	2429	556	63
3327	512	0	2629	565	67
3583	512	0	2822	575	72
3839	512	0	2993	588	76
4095	512	0	3167	600	79
0	768	0	150	671	38
256	768	0	341	686	41
512	768	0	537	688	44
768	768	0	735	696	47
1024	768	0	933	710	51
1280	768	0	1120	721	55
1536	768	0	1318	734	59
1792	768	0	1499	739	63
2048	768	0	1700	749	66
2303	768	0	1890	758	69
2559	768	0	2085	769	74
2815	768	0	2294	787	79
3071	768	0	2489	796	82
3327	768	0	2687	806	86
3583	768	0	2877	817	90
3839	768	0	3051	830	93
4095	768	0	3241	833	97
0	1024	0	205	910	54
256	1024	0	399	913	57
512	1024	0	594	915	60
768	1024	0	789	929	64
1024	1024	0	984	942	68
1280	1024	0	1186	957	73
1536	1024	0	1386	972	77
1792	1024	0	1569	977	81
2048	1024	0	1754	981	84
2303	1024	0	1937	990	88
2559	1024	0	2132	1000	91
2815	1024	0	2337	1018	96
3071	1024	0	2541	1035	100
3327	1024	0	2741	1047	104
3583	1024	0	2932	1059	108
